timestamp,resource,cpuPercent,memPercent,movingAvg
2025-11-02 20:25:24,resource,0.00,0.00,0.00
2025-11-02 20:25:29,resource,0.00,0.00,0.00
2025-11-02 20:25:35,resource,0.00,0.00,0.00
2025-11-02 20:25:40,resource,0.00,0.00,0.00
2025-11-02 20:25:45,resource,0.00,0.00,0.00
2025-11-02 20:25:50,resource,0.00,0.00,0.00
2025-11-02 20:25:55,resource,0.00,0.00,0.00
2025-11-02 20:26:00,resource,0.00,0.00,0.00
2025-11-02 20:26:05,resource,0.00,0.00,0.00
2025-11-02 20:26:10,resource,0.00,0.00,0.00
2025-11-02 20:26:15,resource,0.00,0.00,0.00
2025-11-02 20:26:20,resource,0.00,0.00,0.00
2025-11-02 20:26:25,resource,0.00,0.00,0.00
2025-11-02 20:26:30,resource,0.00,0.00,0.00
2025-11-02 20:26:35,resource,0.00,0.00,0.00
2025-11-02 20:26:40,resource,0.00,0.00,0.00
2025-11-02 20:26:45,resource,0.00,0.00,0.00
2025-11-02 20:26:50,resource,0.00,0.00,0.00
2025-11-02 20:26:55,resource,0.00,0.00,0.00
2025-11-02 20:27:00,resource,0.00,0.00,0.00
2025-11-02 20:27:05,resource,0.00,0.00,0.00
2025-11-02 20:27:10,resource,0.00,0.00,0.00
2025-11-02 20:27:15,resource,0.00,0.00,0.00
2025-11-02 20:27:20,resource,0.00,0.00,0.00
2025-11-02 20:27:25,resource,0.00,0.00,0.00
2025-11-02 20:27:30,resource,0.00,0.00,0.00
2025-11-02 20:27:35,resource,0.00,0.00,0.00
2025-11-02 20:27:40,resource,0.00,0.00,0.00
2025-11-02 20:27:45,resource,0.00,0.00,0.00
2025-11-02 20:27:50,resource,0.00,0.00,0.00
2025-11-02 20:27:55,resource,0.00,0.00,0.00
2025-11-02 20:28:00,resource,0.00,0.00,0.00
2025-11-02 20:28:05,resource,0.00,0.00,0.00
2025-11-02 20:28:10,resource,0.00,0.00,0.00
2025-11-02 20:28:15,resource,0.00,0.00,0.00
2025-11-02 20:28:20,resource,0.00,0.00,0.00
2025-11-02 20:28:25,resource,0.00,0.00,0.00
